mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ
0,id05055,id05594,-8.209526348591787,9.016188449971107,-7.510278776978037,1.0656422972679138
1,id04276,id05714,-10.575118342321911,5.634652182975703,-9.401069899459259,1.0912160873413086
2,id04253,id04862,-12.204492123326345,0.3710689085140319,-9.120516880448616,1.0353978276252747
3,id04276,id05850,-9.589813323397468,9.269204098245979,-9.004099003870433,1.0778912901878357
4,id04119,id05459,-7.473964943484628,11.075641573407975,-7.081941616538395,1.0347896218299866
5,id06104,id07426,-12.609454117734767,8.063737717090888,-11.893904036358222,1.0522573590278625
6,id04006,id04232,-11.488579869117547,7.26231612054216,-10.679035908468176,1.038786768913269
7,id06913,id07354,-11.70009847417336,6.940503541556362,-10.835009828026958,1.0773878693580627
8,id04094,id07312,-10.281942590241044,6.648175642201766,-9.342089364921042,1.0402877926826477
9,id03862,id04950,-11.608657164453774,7.574313828997115,-10.835206578250322,1.0395507216453552
10,id03981,id05816,-11.380774381225699,8.42720919425771,-10.693064530261791,1.0460256934165955
11,id04276,id06913,-10.285483393467338,8.110221565853918,-9.525668538727242,1.0414659976959229
12,id05594,id06816,-10.1807469205899,8.908980204576775,-9.59689968381593,1.0396862626075745
13,id03677,id05714,-10.20795562121005,4.571585626378713,-7.917511696626891,1.0501145720481873
14,id04478,id06209,-9.355788598849855,6.997847255749248,-8.184242711549278,1.0349807143211365
15,id03862,id04006,-10.324042026506778,9.306052555894057,-9.727481768696084,1.033233642578125
16,id04536,id06484,-11.923882516577827,1.8798262731904427,-9.177011218144928,1.0676705241203308
17,id03789,id04570,-10.50483098862312,8.584441963208477,-9.8869495748629,1.0231813192367554
18,id05594,id07354,-8.99328567280693,9.355080953282792,-8.45196006150632,1.0509762167930603
19,id05654,id05999,-8.558977483149128,12.0901955571501,-8.260626823479772,1.0530728697776794
20,id05202,id05850,-9.481704840268778,6.787772154280453,-8.547775631813966,1.0676214694976807
21,id05055,id05714,-7.516660844737494,11.057816693601156,-7.126800286724677,1.0873345136642456
22,id04030,id05594,-9.55909370094249,10.80481020450592,-9.1199499803651,1.0353314280509949
23,id04094,id04656,-11.187506283871183,9.54921954304934,-10.685289088092032,1.030062198638916
24,id04950,id05816,-10.181014647393793,8.886935629902759,-9.596883753645645,1.0310418605804443
25,id04119,id04862,-8.424194131562922,10.434771201655877,-7.9846164635549055,1.060454249382019
26,id04656,id06816,-10.184014239277431,11.122553222222496,-9.819963869290607,1.0345627665519714
27,id04366,id04536,-8.294964365518213,9.433573908686345,-7.706481289321131,1.052486777305603
28,id03978,id07396,-13.254648677378123,0.31323868477381334,-9.961300313150767,1.0447187423706055
29,id06104,id07354,-12.26619408151317,0.8997392337400425,-9.458562871530985,1.0688832998275757
30,id03969,id07354,-9.007569222294714,10.673449718222244,-8.59580103505879,1.0342013239860535
31,id06816,id07414,-13.173543956291024,3.110515317397828,-10.88403352964076,1.030263602733612
