mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ,pretrained_speaker_acc,finetuned_speaker_acc
mix_00000,id05055,id05594,6.136312558949449,24.81009052199589,6.2117780059509045,1.2543964385986328,1.0,1.0
mix_00001,id04276,id05714,4.828150276994787,22.811048712742807,4.92531958937278,1.5688750743865967,1.0,1.0
mix_00002,id04253,id04862,4.942913049398674,23.261166530829254,5.031673705268369,1.4439007639884949,0.0,0.0
mix_00003,id04276,id05850,6.34920163474464,26.35639837695738,6.403372890890888,1.3162170052528381,0.0,0.0
mix_00004,id04119,id05459,8.380983277646527,22.972563476757838,8.60433978467253,1.5386265516281128,1.0,1.0
mix_00005,id06104,id07426,5.366711919061311,25.853138743493574,5.421680412532583,1.3511412143707275,0.0,0.0
mix_00006,id04006,id04232,9.465974615049879,27.6456568616644,9.541215658408625,1.699278712272644,1.0,1.0
mix_00007,id06913,id07354,6.72348082662078,26.216772817134824,6.783487151882872,1.4229891896247864,1.0,1.0
mix_00008,id04094,id07312,1.682270726737907,9.535979583609496,3.0486897447312753,1.1442854404449463,0.5,0.5
mix_00009,id03862,id04950,4.594316778984972,19.321375385844355,4.811165183083105,1.2417776584625244,0.0,0.0
mix_00010,id03981,id05816,5.165743983927216,23.902146058401584,5.244517644178279,1.2020967602729797,1.0,1.0
mix_00011,id04276,id06913,5.400494993130357,19.04337477292423,5.661443190150997,1.3031331896781921,0.0,0.0
mix_00012,id05594,id06816,6.423693129125563,24.421511188944002,6.509051499901471,1.1514244675636292,0.0,0.0
mix_00013,id03677,id05714,5.3716770683221355,21.29671061804278,5.52088331570565,1.3023983836174011,1.0,1.0
mix_00014,id04478,id06209,0.3810890811710609,6.6626551000162255,2.672482223202717,1.122053861618042,0.5,0.5
mix_00015,id03862,id04006,-3.5099181762443394,4.224486904207747,2.146537646599376,1.0902138948440552,0.5,0.5
mix_00016,id04536,id06484,5.21235114263581,23.20175168893148,5.30728658888955,1.4390640258789062,0.0,0.0
mix_00017,id03789,id04570,-5.055423381230851,8.387457566160997,-2.097485807491287,1.2252417206764221,0.0,0.0
mix_00018,id05594,id07354,8.070984094246588,19.817760808999758,8.632039508084876,1.4677894115447998,0.0,0.0
mix_00019,id05654,id05999,12.222647379971402,28.004550184997267,12.35783325005061,2.16550874710083,1.0,1.0
mix_00020,id05202,id05850,3.643438447039131,11.785527957171857,4.745157392865078,1.3248450756072998,1.0,1.0
mix_00021,id05055,id05714,4.04400839079649,15.23382256639335,5.966257817437183,1.152070939540863,1.0,1.0
mix_00022,id04030,id05594,6.144029266747809,24.093998767291225,6.233244838558815,1.1971872448921204,1.0,1.0
mix_00023,id04094,id04656,3.8429492531938614,24.524896179499226,3.8982478587357656,1.3302737474441528,1.0,1.0
mix_00024,id04950,id05816,7.924530938453557,27.01344515059693,7.987649227107099,1.4335259199142456,0.0,0.0
mix_00025,id04119,id04862,9.234044684593572,24.094690189502536,9.4685301242959,1.457992434501648,0.0,0.0
mix_00026,id04656,id06816,3.5908465921445893,21.571489326092138,3.691737920310308,1.1851863861083984,0.0,0.0
mix_00027,id04366,id04536,10.459777410910998,26.33707777546797,10.583653557881396,1.386007010936737,1.0,1.0
mix_00028,id03978,id07396,-3.938329670327173,9.500875760351047,-3.231155934199199,1.0694160461425781,0.5,0.5
mix_00029,id06104,id07354,2.824372901689216,18.987475826174098,3.188737963059877,1.2337830662727356,0.0,0.0
mix_00030,id03969,id07354,11.32480535534225,31.307196641397653,11.3767798228434,1.7523937821388245,0.0,0.0
mix_00031,id06816,id07414,5.67968682302436,21.961391658561148,5.839444736988062,1.2390934824943542,0.0,0.0
mix_00032,id04862,id06816,2.570089055658345,12.317154767967539,3.7785133946740563,1.2402896881103516,0.0,0.0
mix_00033,id04478,id07396,6.89982485333816,23.320763755630995,7.02833475315311,1.417260468006134,0.0,0.0
mix_00034,id04536,id05816,3.395856436818665,22.99102309157103,3.4734838384747326,1.1757794618606567,0.0,0.0
mix_00035,id03862,id06310,9.819662462277247,24.70801096094766,9.97865815516229,1.29177588224411,1.0,1.0
mix_00036,id06913,id07312,0.44165906941423916,18.08251691746907,0.5899277464476488,1.1164948344230652,0.0,0.0
mix_00037,id04950,id05202,6.229459919083816,25.450834929450863,6.322650205943167,1.3126322627067566,0.0,0.0
mix_00038,id03980,id05176,8.370659275912018,27.489632318527303,8.439421568295975,1.2965043187141418,0.0,0.0
mix_00039,id04627,id05055,10.965735162551503,27.38539539937516,11.07453207064348,1.6063623428344727,0.0,0.0
mix_00040,id04656,id06209,9.913651020617028,27.74890513930484,10.002739400709235,1.7547966241836548,0.0,0.0
mix_00041,id05124,id06811,8.720902134883007,25.074550509567175,8.838177752580126,1.8044695854187012,0.0,0.0
mix_00042,id04862,id05015,1.2557216043624606,19.64946134629301,1.3857980531204155,1.4734073281288147,1.0,1.0
mix_00043,id05176,id06913,6.813140683991549,25.506356985454914,6.884485182257791,1.4088013172149658,1.0,1.0
mix_00044,id03969,id04295,11.279402456409809,27.71106766006683,11.401488709275707,1.7937464714050293,0.0,0.0
mix_00045,id04656,id06104,7.476562093568963,25.05098745759433,7.581914971029347,1.449105441570282,0.0,0.0
mix_00046,id04295,id06484,-4.27715796141121,0.6624102020114147,1.048212277527653,1.1158636212348938,1.0,1.0
mix_00047,id04030,id05654,2.8575448161144936,17.93058330181851,3.0922500155025405,1.4642610549926758,0.0,0.0
mix_00048,id05124,id07414,6.096891900342556,22.928606904896228,6.21375338342839,1.2987648844718933,1.0,1.0
mix_00049,id03978,id05816,2.1094761875643435,18.170535521046173,2.35580488530544,1.1938978433609009,0.0,0.0
mix_00050,id05816,id05850,4.950210222516605,23.714733625831126,5.028939492121689,1.3891493678092957,1.0,1.0
mix_00051,id05816,id06816,8.960742533275212,27.387325811077325,9.032139288174058,1.6576498746871948,1.0,1.0
mix_00052,id04119,id06816,7.322919738260415,23.86060419684007,7.450685456547833,1.3816719055175781,1.0,1.0
mix_00053,id03839,id05124,6.467074998802442,23.81672018108807,6.576005992356096,1.2966297268867493,0.0,0.0
mix_00054,id04570,id05459,-1.4916404071613512,11.480925773769464,0.25954807079790787,1.1231471300125122,0.0,0.0
mix_00055,id03969,id04478,6.111202005006434,26.153971154012176,6.165477081665216,1.534131944179535,0.0,0.0
mix_00056,id04119,id04657,11.31413191943236,30.24850977390811,11.37419132259603,1.8200072050094604,1.0,1.0
mix_00057,id05124,id05594,3.8141287533872683,23.235035298982908,3.8971059380025133,1.2418966889381409,1.0,1.0
mix_00058,id05594,id05850,5.734819173713988,20.173550833112294,5.956810052083524,1.5275545120239258,0.0,0.0
mix_00059,id06484,id06692,7.277981098471716,25.250881436995023,7.369622096650675,1.4488401412963867,0.0,0.0
mix_00060,id05055,id06484,7.011479901650052,23.649694840325473,7.131389175598399,1.397765040397644,0.0,0.0
mix_00061,id04276,id04950,4.86308271393612,23.71104726876731,4.9412294129139465,1.2007752060890198,1.0,1.0
mix_00062,id03789,id05816,5.173929028589704,25.30394582787921,5.22979142267709,1.549149751663208,0.0,0.0
mix_00063,id04657,id06913,8.100240498257866,25.151464484226295,8.201927419914199,1.6057961583137512,0.0,0.0
mix_00064,id06310,id07396,8.10564705677853,24.834169837554306,8.222832765806961,1.4469612836837769,0.0,0.0
mix_00065,id04366,id06816,3.3243685707640545,21.77779228914998,3.4297738434133245,1.2302299737930298,1.0,1.0
mix_00066,id03789,id04006,8.546426087330497,27.070676616562878,8.62099953605114,1.5559544563293457,0.0,0.0
mix_00067,id03677,id04232,7.6358595435686185,27.21975073775713,7.694906119073481,1.4993025064468384,0.0,0.0
mix_00068,id04366,id05816,3.464684947305798,13.67020729608408,4.164608711932861,1.2632726430892944,0.0,0.0
mix_00069,id04006,id04950,4.620433296385837,20.166549573068032,4.791200153025789,1.215451717376709,1.0,1.0
mix_00070,id05714,id06692,2.8518276881498625,19.375193109843547,3.009732684389385,1.1896792650222778,1.0,1.0
mix_00071,id05124,id05999,7.723108268457121,24.481153693356227,7.836909344231354,1.5961093306541443,0.0,0.0
mix_00072,id05176,id05654,8.673901445008793,22.55280913722485,8.887320141129553,1.5888041257858276,0.0,0.0
mix_00073,id03981,id07396,10.941585074212009,26.3786210206285,11.078492676260304,1.851770043373108,0.0,0.0
mix_00074,id04094,id05202,7.832693697672042,20.63372868111638,8.151964562140233,1.430284857749939,1.0,1.0
mix_00075,id04950,id05015,4.321648328982754,14.431201566498048,5.063910432550915,1.362923264503479,0.0,0.0
mix_00076,id03839,id04253,5.533554647790497,22.064075145243216,5.673257017576416,1.2381747961044312,0.0,0.0
mix_00077,id04094,id05124,-0.5657479208237404,10.78473663846384,2.655662596622296,1.2939040064811707,0.5,0.5
mix_00078,id04006,id06811,2.4229395806980576,19.414709044837146,2.5996074323045018,1.2053529620170593,1.0,1.0
mix_00079,id06209,id06811,6.6889328642500665,24.918649464114836,6.774235873659652,1.5390582084655762,0.0,0.0
mix_00080,id05594,id07312,8.496800321827887,24.119805103366815,8.694500309457363,1.5286747813224792,0.0,0.0
mix_00081,id05654,id06692,1.8524153710552862,14.77500718425371,2.344819446282435,1.2185511589050293,0.5,0.5
mix_00082,id04094,id07426,6.408327648142432,19.59214120870826,6.923123377691917,1.3748337030410767,0.0,0.0
mix_00083,id04478,id04656,5.3941577361969815,24.726452656599058,5.461467551957403,1.192941963672638,1.0,1.0
mix_00084,id04862,id06913,4.758877260461978,22.416349089641514,4.864316070917171,1.4728198647499084,1.0,1.0
mix_00085,id04232,id07312,-2.6364612533044123,0.13760622469568462,3.8097159001271175,1.128664255142212,0.5,0.5
mix_00086,id03980,id04657,2.3452285810462996,14.249691653223175,3.031948049017539,1.295638084411621,0.5,0.5
mix_00087,id03980,id05654,7.174248138083349,25.474518194270264,7.261325685580799,1.388450801372528,0.0,0.0
mix_00088,id04478,id05055,6.186963726817684,20.20208417825517,6.6593901089157646,1.3115108609199524,1.0,1.0
mix_00089,id03677,id04570,8.051934650158342,24.288270595926438,8.173549028174573,1.4185341596603394,1.0,1.0
mix_00090,id03981,id04536,8.564407806718647,25.782959060205194,8.666436570936291,1.4650819301605225,0.0,0.0
mix_00091,id03969,id05124,5.546301795506308,24.94282789648421,5.6132634328938344,1.2593891620635986,0.0,0.0
mix_00092,id03789,id04627,8.441925811093363,27.771900468872854,8.502051884409768,1.4056594371795654,1.0,1.0
mix_00093,id03980,id04295,11.419329112741167,30.17646364465938,11.481728739223279,1.5618995428085327,0.0,0.0
mix_00094,id03789,id04030,6.579759004155331,24.804552719774314,6.661161856303126,1.4107919335365295,1.0,1.0
mix_00095,id03677,id04253,2.2786503904356077,15.778188359330134,2.5994232837732887,1.2143248319625854,1.0,1.0
mix_00096,id04627,id06811,6.47962598421523,25.06704368600261,6.57233577269654,1.2874000072479248,1.0,1.0
mix_00097,id04862,id06692,2.0444570893524014,15.956830955942095,2.4724661434880373,1.2128467559814453,1.0,1.0
mix_00098,id04536,id04657,5.934006590602065,21.644750884987516,6.178108470882504,1.3413649797439575,1.0,1.0
mix_00099,id05459,id06484,-1.2020471708201874,17.143904172939166,-0.9057737210182273,1.169065237045288,0.0,0.0
mix_00100,id03677,id03978,5.336639753123479,26.393461800220823,5.387648834187991,1.2225089073181152,1.0,1.0
mix_00101,id04478,id07312,7.616545536272347,22.948736936097358,7.779953857684758,1.2849962711334229,0.0,0.0
mix_00102,id04627,id05176,10.474094804176758,23.648704129785408,10.725650346610413,1.6943811178207397,1.0,1.0
mix_00103,id04232,id05999,2.3496059680712227,16.238841238744662,2.884619561598904,1.2305386066436768,1.0,1.0
mix_00104,id03980,id05055,4.15538153800495,20.81173957726605,4.367640605407624,1.3239765167236328,0.5,0.5
mix_00105,id04119,id04478,10.820281044537907,27.386102829918997,10.925261047226861,1.5222852230072021,1.0,1.0
mix_00106,id03981,id07426,2.988718638719077,21.852622511237506,3.076075973252756,1.1113510727882385,1.0,1.0
mix_00107,id03981,id05654,2.703570839581858,19.833351649229254,2.8370603313113687,1.1334742903709412,0.5,0.5
mix_00108,id05202,id07354,8.991925057180048,26.95525559876455,9.085363568743345,1.4542814493179321,1.0,1.0
